Période;Poste;[0,1[;[1,2[;[2,3[;[3,4[;[4,5[;[5,6[;[6,7[;[7,8[;[8,9[;[9,10[;[10,11[;[11,12[;[12,13[;[13,14[;[14,15[;[15,16[;[16,17[;[17,18[;[18,19[;[19,20[;[20,21[;[21,22[;[22,23[;[23,24[
Mois de Septembre - Novembre (Jours ouvrées);Froid;71,9;69,9;69,2;67,4;67,1;66,6;66,5;68,7;68,2;67,0;67,4;67,5;71,4;71,9;73,5;70,9;72,0;72,4;73,9;77,5;79,0;77,0;73,9;72,7
Mois de Septembre - Novembre (Jours ouvrées);Audiovisuel;26,7;18,3;15,3;13,6;12,9;13,1;14,7;20,3;24,6;23,3;24,1;25,1;33,7;38,8;33,7;31,4;32,2;36,8;44,1;55,4;64,1;70,0;64,2;42,7
Mois de Septembre - Novembre (Jours ouvrées);Informatique/Bureautique;21,2;19,6;19,2;18,1;17,5;17,4;18,1;18,1;19,2;21,5;22,3;22,8;22,7;22,8;23,8;24,3;24,6;24,8;25,4;26,7;27,4;28,2;26,9;23,8
Mois de Septembre - Novembre (Jours ouvrées);Lavage séchage;38,3;27,5;21,8;15,8;10,4;6,7;6,4;21,9;35,6;38,2;35,4;32,3;34,1;47,2;46,5;32,4;27,1;27,1;31,7;36,2;41,9;46,4;30,5;32,0
Mois de Septembre - Novembre (Jours ouvrées);Cuisson;11,0;10,0;11,9;10,4;9,5;12,8;22,8;41,3;31,2;28,4;26,6;38,4;88,9;61,1;33,3;24,4;28,0;38,9;79,1;152,0;119,5;46,7;20,0;14,2
Mois de Septembre - Novembre (Jours ouvrées);Eclairage;11,5;7,2;5,9;5,0;4,7;6,3;11,6;30,2;20,4;12,4;10,9;9,7;9,7;8,4;7,6;9,3;11,2;19,5;32,5;45,5;50,7;41,0;29,3;21,8
Mois de Septembre - Novembre (Jours ouvrées);Chauffe eau;345,9;200,1;128,3;115,3;98,3;82,8;85,3;63,4;31,2;21,1;24,4;23,4;39,3;50,9;42,5;49,2;31,2;14,5;21,5;33,6;50,1;101,4;195,6;338,0
Mois de Septembre - Novembre (Jours ouvrées);Autres;66,3;44,5;44,2;46,6;45,0;43,9;39,5;41,8;32,3;47,3;55,8;60,5;53,8;55,7;47,7;48,7;52,8;52,1;54,8;61,9;60,8;63,0;56,1;60,4
Mois de Septembre - Novembre (Week-end);Chauffage direct;86,6;86,6;93,0;98,7;113,8;127,9;140,9;133,6;148,0;154,7;138,9;117,5;109,4;101,5;94,0;86,0;85,3;88,3;102,6;113,4;114,4;135,0;113,9;97,2
Mois de Septembre - Novembre (Week-end);Ventilation;13,0;13,1;13,1;13,1;13,2;13,1;13,1;13,3;13,7;13,5;13,4;13,3;13,2;13,1;13,2;13,2;13,4;13,3;13,3;13,2;13,4;13,3;13,1;13,0
Mois de Septembre - Novembre (Week-end);Froid;72,0;70,2;68,3;67,9;67,2;66,8;66,2;65,5;67,2;68,5;69,1;69,5;72,1;75,4;74,4;73,5;73,7;74,0;73,6;75,4;77,8;76,0;73,2;72,7
Mois de Septembre - Novembre (Week-end);Audiovisuel;29,7;20,9;16,3;14,5;15,5;13,4;13,4;16,0;25,3;32,7;37,2;39,0;42,2;47,3;49,3;48,1;47,2;50,2;53,3;57,7;62,8;68,8;62,6;44,4
Mois de Septembre - Novembre (Week-end);Informatique/Bureautique;20,9;19,4;18,7;17,7;17,1;16,9;17,0;17,4;18,4;20,0;23,8;22,3;23,0;23,9;25,5;24,9;25,6;26,0;26,2;26,3;27,5;27,4;26,2;23,8
Mois de Septembre - Novembre (Week-end);Lavage séchage;33,9;31,2;26,5;19,8;15,1;8,4;6,5;5,4;23,1;57,8;85,7;74,8;80,6;79,7;70,0;65,1;57,1;55,4;51,9;45,0;50,4;48,1;35,0;42,8
Mois de Septembre - Novembre (Week-end);Cuisson;11,6;12,5;10,5;9,3;8,9;10,0;12,4;23,2;38,0;45,1;51,7;77,5;131,4;115,0;56,0;37,8;43,4;45,8;75,0;128,5;108,2;45,2;20,6;13,2
